listing_id,city,neighbourhood,property_type,total_sqft,no_of_rooms,furnish,sale_type,status,price,price (in 'k'),price_per_sqft
73379459,Chennai,Nagar,Apartment,1501,3 BHK,under construction,New Property,UNDER CONSTRUCTION,₹ 3.02 Cr,30200,14090
71093777,Chennai,Perungudi,House,4300,4 BHK,Semi-Furnished,Resale,Ready to Move,₹ 5 Cr,50000,11111
74288807,Chennai,Adambakkam,Apartment,876,2 BHK,under construction,New Property,UNDER CONSTRUCTION,₹ 83.2 Lac,8320,9500
72830955,Chennai,Nagar,Apartment,1760,3 BHK,under construction,New Property,UNDER CONSTRUCTION,₹ 2.10 Cr,21000,11932
74155793,Chennai,Pallikaranai,Apartment,2591,4 BHK,Semi-Furnished,Resale,Ready to Move,₹ 1.85 Cr,18500,6875
65475555,Chennai,Koil,Plot/Land,4343,n/a,n/a,n/a,n/a,₹ 1.21 Cr,12100,2800
74254887,Chennai,Ayappakkam,Plot/Land,984,n/a,n/a,n/a,n/a,₹ 49.2 Lac,4920,5000
72385041,Chennai,Mudichur,Plot/Land,1200,n/a,n/a,n/a,n/a,₹ 33.6 Lac,3360,2800
74306927,Chennai,Perambur,Apartment,675,2 BHK,Unfurnished,Resale,Ready to Move,₹ 40 Lac,4000,5926
72923755,Chennai,Thiruverkadu,Plot/Land,1836,n/a,n/a,n/a,n/a,₹ 1.25 Cr,12500,6808
72622243,Chennai,Kanathur,Villa,3832,4 BHK,Semi-Furnished,Resale,Ready to Move,₹ 5 Cr,50000,10212
74213939,Chennai,Vanagaram,Apartment,880,3 BHK,Unfurnished,New Property,Ready to Move,₹ 98 Lac,9800,7211
74239767,Chennai,Choolaimedu,Apartment,1050,3 BHK,Semi-Furnished,Resale,Ready to Move,₹ 1.40 Cr,14000,9333
73204159,Chennai,Navalur,Villa,2170,3 BHK,under construction,New Property,UNDER CONSTRUCTION,₹ 2.10 Cr,21000,9677
73845227,Chennai,Kanchipuram,Villa,1370,3 BHK,Unfurnished,Resale,Ready to Move,₹ 75 Lac,7500,5474
73486963,Chennai,Ponneri,House,1800,2 BHK,Semi-Furnished,Resale,Ready to Move,₹ 1 Cr,10000,4323
74204161,Chennai,Ponmar,Plot/Land,2400,n/a,n/a,n/a,n/a,₹ 85 Lac,8500,3542
71752625,Chennai,Uthiramerur,Plot/Land,1162,n/a,n/a,n/a,n/a,₹ 7 Lac,700,602
72847943,Chennai,Irumbuliyur,Apartment,1005,2 BHK,Unfurnished,Resale,Ready to Move,₹ 45 Lac,4500,4478
73224031,Chennai,Thaiyur,Apartment,1141,3 BHK,Semi-Furnished,Resale,Ready to Move,₹ 46 Lac,4600,4032
71954671,Chennai,Ayappakkam,Plot/Land,2621,n/a,n/a,n/a,n/a,₹ 1.40 Cr,14000,5341
74249351,Chennai,Colony,Plot/Land,890,n/a,n/a,n/a,n/a,₹ 60 Lac,6000,6742
74198473,Chennai,Velappanchavadi,Apartment,598,1 BHK,Semi-Furnished,Resale,Ready to Move,₹ 22.5 Lac,2250,3763
74198843,Chennai,Mambakkam,Plot/Land,6480,n/a,n/a,n/a,n/a,₹ 19.4 Lac,1939,300
73915669,Chennai,Madhavaram,Apartment,550,2 BHK,under construction,New Property,UNDER CONSTRUCTION,₹ 57.4 Lac,5740,7000
74041447,Chennai,Oragadam,Plot/Land,1800,n/a,n/a,n/a,n/a,₹ 42 Lac,4200,2333
65164785,Chennai,Oragadam,Apartment,875,2 BHK,Semi-Furnished,Resale,Ready to Move,₹ 35 Lac,3500,4000
73516151,Chennai,Kuvathur,Plot/Land,2400,n/a,n/a,n/a,n/a,₹ 26.4 Lac,2640,1100
73816435,Chennai,Avadi,Plot/Land,872,n/a,n/a,n/a,n/a,₹ 45 Lac,4500,5161
72319475,Chennai,Valarpuram,Plot/Land,1000,n/a,n/a,n/a,n/a,₹ 16.5 Lac,1650,1650
72903853,Chennai,Villivakkam,Apartment,750,2 BHK,Unfurnished,Resale,Ready to Move,₹ 79.5 Lac,7950,8500
71148321,Chennai,Thiruporur,Plot/Land,4250,n/a,n/a,n/a,n/a,₹ 70 Lac,7000,1647
74267053,Chennai,in,Villa,600,2 BHK,under construction,New Property,UNDER CONSTRUCTION,₹ 31 Lac,3100,0
65361851,Chennai,Kovur,Villa,880,2 BHK,Unfurnished,Resale,Ready to Move,₹ 85 Lac,8500,7083
73290517,Chennai,Poonamallee,Plot/Land,10300,n/a,n/a,n/a,n/a,₹ 44.8 Lac,4480,435
72076173,Chennai,Walajabad,Plot/Land,3830,n/a,n/a,n/a,n/a,₹ 1.50 Cr,15000,3916
73514097,Chennai,Ayappakkam,Plot/Land,3600,n/a,n/a,n/a,n/a,₹ 2.16 Cr,21600,6000
72232897,Chennai,Veppampattu,Plot/Land,800,n/a,n/a,n/a,n/a,₹ 20 Lac,2000,2500
73313273,Chennai,Guduvancherry,Plot/Land,1375,n/a,n/a,n/a,n/a,₹ 34.4 Lac,3440,2500
72762113,Chennai,Chettipunyam,Plot/Land,1800,n/a,n/a,n/a,n/a,₹ 18 Lac,1800,1000
73840599,Chennai,Thazhambur,Plot/Land,1000,n/a,n/a,n/a,n/a,₹ 55 Lac,5500,5500
74223863,Chennai,Pattipulam,Plot/Land,10000,n/a,n/a,n/a,n/a,₹ 1.70 Cr,17000,1700
74083031,Chennai,Iyyappanthangal,Apartment,900,2 BHK,Unfurnished,Resale,Ready to Move,₹ 45 Lac,4500,0
71675839,Chennai,Mogappair,Apartment,2007,3 BHK,under construction,New Property,UNDER CONSTRUCTION,₹ 2.15 Cr,21500,10713
74300195,Chennai,Guduvancheri,Plot/Land,1250,n/a,n/a,n/a,n/a,₹ 33 Lac,3300,2640
